word,freq
abbe,0
abed,0
abet,2
able,6522
ably,13
abut,4
aced,9
aces,31
ache,16
achy,7
acid,194
acme,1
acne,46
acre,60
acts,729
adds,1034
ados,0
adze,1
aeon,0
aery,0
afar,37
agar,0
aged,1444
ages,679
agog,2
ague,0
ahem,6
ahoy,0
aide,135
aids,82
ails,7
aims,1081
airs,69
airy,41
ajar,6
akin,132
alas,18
albs,0
ales,35
alga,0
alit,0
alls,0
ally,307
alms,3
aloe,7
alps,1
also,43041
alto,3
alum,98
amen,6
amid,1334
amir,0
ammo,28
amok,8
amps,8
anal,15
anew,38
ankh,0
anon,0
ante,16
anti,19
ants,40
anus,13
aped,0
apes,22
apex,104
apps,609
apse,1
aqua,7
arch,44
arcs,31
area,7667
ares,1
aria,4
arid,13
arks,0
arms,747
army,706
arts,546
arty,4
arum,1
ashy,0
asks,403
asps,0
atom,11
atop,158
auks,1
aunt,133
aura,48
auto,283
aver,1
avid,115
avow,0
away,7625
awed,5
awes,0
awls,2
awns,0
awol,0
awry,26
axed,72
axes,19
axis,67
axle,14
axon,0
ayah,0
ayes,0
baas,0
babe,27
baby,1332
back,17871
bade,6
bads,0
bags,575
baht,29
bail,717
bait,68
bake,91
bald,45
bale,5
balk,11
ball,2850
balm,35
band,1262
bane,11
bang,138
bani,0
bank,1726
bans,166
barb,3
bard,3
bare,130
barf,0
bark,39
barn,121
bars,574
base,1638
bash,53
bask,14
bass,146
bast,0
bate,0
bath,155
bats,104
baud,0
bawd,0
bawl,0
bays,45
bead,12
beak,9
beam,70
bean,56
bear,513
beat,1564
beau,20
beck,4
beds,323
beef,344
been,47805
beep,11
beer,489
bees,99
beet,9
begs,43
bell,154
belt,395
bend,104
bent,76
berg,0
berm,3
best,9657
beta,1755
bets,252
bevy,22
beys,0
bias,215
bibs,3
bide,11
bids,122
bier,0
bike,619
bile,15
bilk,2
bill,2004
bind,37
bins,165
bios,3
bird,396
bite,250
bits,176
blab,1
blah,16
bled,22
blew,195
blip,29
blob,16
bloc,198
blog,189
blot,7
blow,523
blue,1112
blur,44
boar,12
boas,0
boat,735
bobs,5
bock,1
bode,28
bods,0
body,3437
bogs,11
bogy,0
boil,104
bola,2
bold,412
bole,0
boll,0
bolt,40
bomb,359
bond,665
bone,225
bong,3
bony,10
boob,14
book,2471
boom,177
boon,39
boor,0
boos,42
boot,248
bops,2
bore,70
born,1512
bosh,0
boss,1050
both,10939
bout,166
bowl,341
bows,33
boxy,9
boys,1033
bozo,1
brad,1
brae,0
brag,19
bran,3
bras,11
brat,15
bray,0
bred,57
brew,55
brie,5
brig,0
brim,23
bros,14
brow,23
bubo,0
bubs,0
buck,71
buds,81
buff,26
bugs,92
bulb,25
bulk,197
bull,156
bump,162
bums,5
bung,0
bunk,18
buns,31
bunt,18
buoy,11
burg,1
burl,0
burn,319
burp,3
burr,2
burs,0
bury,94
bush,68
buss,1
bust,103
busy,1055
buts,4
butt,92
buys,84
buzz,170
byes,3
byte,2
cabs,8
cads,0
cafe,262
cage,99
cagy,0
cake,366
calf,127
calk,0
call,4497
calm,512
came,7236
camp,1051
cams,10
cane,38
cans,107
cant,19
cape,17
capo,2
caps,175
card,1390
care,5411
carp,16
cars,1573
cart,113
case,6339
cash,1786
cask,22
cast,1614
cats,324
cave,89
caws,0
cays,0
ceca,0
cede,11
cell,469
cent,4725
chap,16
char,6
chat,430
chef,379
chew,42
chic,125
chid,0
chin,75
chip,394
chis,0
chit,5
chop,60
chow,13
chub,1
chug,5
chum,4
ciao,0
cite,65
city,6250
clad,43
clam,13
